指标名称,数值,单位,年份,数据来源,发布部门
社会消费品零售总额,487.10,亿元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
城镇消费品零售额,424.79,亿元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
乡村消费品零售额,62.31,亿元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
限额以上单位零售额,139.31,亿元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
城镇居民人均可支配收入,51108,元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
农村居民人均可支配收入,26626,元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
城镇居民人均消费支出,32007,元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
农村居民人均消费支出,21767,元,2024,新余市2024年国民经济和社会发展统计公报,新余市统计局
居民消费价格指数(CPI)涨幅,0.5,%,2024,新余市2024年国民经济和社会发展统计公报,国家统计局新余调查队
社会消费品零售总额,461.34,亿元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
城镇消费品零售额,402.82,亿元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
乡村消费品零售额,58.52,亿元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
限额以上单位零售额,118.44,亿元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
城镇居民人均可支配收入,49351,元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
农村居民人均可支配收入,25319,元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
城镇居民人均消费支出,30646,元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
农村居民人均消费支出,20544,元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
居民消费价格指数(CPI)涨幅,0.1,%,2023,新余市2023年国民经济和社会发展统计公报,国家统计局新余调查队
地区生产总值(GDP),1261.89,亿元,2023,新余市2023年国民经济和社会发展统计公报,新余市统计局
